,subject,relation,object
50573,new_york,monday,"cloudy, low of 20f, high of 30f"
50576,new_york,thursday,"foggy, low of 80f, high of 100f"
50577,new_york,friday,"drizzle, low of 70f, high of 90f"
50578,new_york,saturday,"foggy, low of 40f, high of 50f"
50580,san_francisco,monday,"snow, low of 30f, high of 40f"
50581,san_francisco,tuesday,"dew, low of 90f, high of 100f"
50583,san_francisco,thursday,"clear skies, low of 80f, high of 90f"
50584,san_francisco,friday,"stormy, low of 60f, high of 80f"
50588,san_mateo,tuesday,"raining, low of 30f, high of 40f"
50592,san_mateo,saturday,"clear skies, low of 60f, high of 80f"
50595,downtown_chicago,tuesday,"stormy, low of 30f, high of 40f"
50596,downtown_chicago,wednesday,"overcast, low of 90f, high of 100f"
50598,downtown_chicago,friday,"dew, low of 60f, high of 70f"
50600,downtown_chicago,sunday,"cloudy, low of 70f, high of 90f"
50604,manhattan,thursday,"snow, low of 80f, high of 100f"
50605,manhattan,friday,"drizzle, low of 30f, high of 50f"
50606,manhattan,saturday,"hail, low of 80f, high of 100f"
50607,manhattan,sunday,"windy, low of 40f, high of 60f"
50610,durham,wednesday,"windy, low of 80f, high of 100f"
50612,durham,friday,"hail, low of 40f, high of 50f"
50613,durham,saturday,"windy, low of 50f, high of 60f"
50680,corona,tuesday,"windy, low of 20f, high of 40f"
50682,corona,thursday,"foggy, low of 50f, high of 70f"
50683,corona,friday,"dew, low of 50f, high of 70f"
50685,corona,sunday,"windy, low of 70f, high of 90f"
50691,alhambra,saturday,"hail, low of 60f, high of 80f"
50692,alhambra,sunday,"hail, low of 70f, high of 90f"
50693,cleveland,monday,"dew, low of 60f, high of 80f"
50695,cleveland,wednesday,"foggy, low of 50f, high of 60f"
50696,cleveland,thursday,"misty, low of 30f, high of 40f"
50699,cleveland,sunday,"snow, low of 30f, high of 50f"
50700,san_jose,monday,"dry, low of 80f, high of 90f"
50701,san_jose,tuesday,"humid, low of 70f, high of 80f"
50702,san_jose,wednesday,"rain, low of 50f, high of 60f"
50704,san_jose,friday,"overcast, low of 40f, high of 50f"
50706,san_jose,sunday,"overcast, low of 30f, high of 40f"
50707,menlo_park,monday,"rain, low of 60f, high of 80f"
50708,menlo_park,tuesday,"cloudy, low of 30f, high of 50f"
50710,menlo_park,thursday,"rain, low of 40f, high of 50f"
50711,menlo_park,friday,"misty, low of 60f, high of 80f"
50712,menlo_park,saturday,"snow, low of 50f, high of 70f"
50713,menlo_park,sunday,"overcast, low of 40f, high of 60f"
50714,brentwood,monday,"cloudy, low of 30f, high of 40f"
50716,brentwood,wednesday,"overcast, low of 30f, high of 50f"
50717,brentwood,thursday,"rain, low of 40f, high of 60f"
50718,brentwood,friday,"drizzle, low of 70f, high of 90f"
50721,manhattan,monday,"misty, low of 80f, high of 100f"
50722,manhattan,tuesday,"hot, low of 50f, high of 70f"
50726,manhattan,saturday,"warm, low of 90f, high of 100f"
50727,manhattan,sunday,"dew, low of 20f, high of 40f"
50750,exeter,tuesday,"dry, low of 40f, high of 60f"
50751,exeter,wednesday,"snow, low of 60f, high of 70f"
50752,exeter,thursday,"clear skies, low of 50f, high of 70f"
50753,exeter,friday,"frost, low of 20f, high of 40f"
50754,exeter,saturday,"clear skies, low of 80f, high of 90f"
50755,exeter,sunday,"rain, low of 30f, high of 40f"
50756,downtown_chicago,monday,"misty, low of 40f, high of 60f"
50757,downtown_chicago,tuesday,"snow, low of 50f, high of 70f"
50761,downtown_chicago,saturday,"raining, low of 80f, high of 90f"
50763,carson,monday,"hail, low of 70f, high of 80f"
50764,carson,tuesday,"hot, low of 60f, high of 80f"
50766,carson,thursday,"raining, low of 80f, high of 90f"
50768,carson,saturday,"snow, low of 40f, high of 50f"
50769,carson,sunday,"snow, low of 80f, high of 100f"
50772,boston,wednesday,"raining, low of 80f, high of 90f"
50773,boston,thursday,"overcast, low of 20f, high of 30f"
50774,boston,friday,"dry, low of 40f, high of 50f"
50775,boston,saturday,"hail, low of 60f, high of 80f"
50776,boston,sunday,"dry, low of 80f, high of 100f"
50777,alameda,monday,"dry, low of 80f, high of 100f"
50778,alameda,tuesday,"dry, low of 30f, high of 50f"
50779,alameda,wednesday,"dry, low of 90f, high of 100f"
50782,alameda,saturday,"stormy, low of 80f, high of 100f"
50785,compton,tuesday,"clear skies, low of 50f, high of 70f"
50786,compton,wednesday,"misty, low of 20f, high of 40f"
50788,compton,friday,"dew, low of 70f, high of 90f"
50790,compton,sunday,"windy, low of 80f, high of 100f"
50791,corona,monday,"dry, low of 40f, high of 50f"
50792,corona,tuesday,"dew, low of 30f, high of 50f"
50793,corona,wednesday,"raining, low of 40f, high of 60f"
50794,corona,thursday,"overcast, low of 70f, high of 90f"
50795,corona,friday,"rain, low of 80f, high of 100f"
50796,corona,saturday,"rain, low of 20f, high of 30f"
50797,corona,sunday,"dew, low of 40f, high of 60f"
50799,menlo_park,tuesday,"rain, low of 90f, high of 100f"
50807,exeter,wednesday,"snow, low of 40f, high of 60f"
50810,exeter,saturday,"windy, low of 40f, high of 60f"
50812,inglewood,monday,"warm, low of 70f, high of 90f"
50814,inglewood,wednesday,"warm, low of 60f, high of 80f"
50819,new_york,monday,"snow, low of 30f, high of 40f"
50820,new_york,tuesday,"snow, low of 40f, high of 60f"
50821,new_york,wednesday,"hot, low of 60f, high of 70f"
50825,new_york,sunday,"hot, low of 40f, high of 60f"
50826,compton,monday,"foggy, low of 70f, high of 90f"
50828,compton,wednesday,"hot, low of 30f, high of 40f"
50831,compton,saturday,"raining, low of 70f, high of 90f"
50836,boston,thursday,"clear skies, low of 40f, high of 60f"
50846,san_jose,sunday,"overcast, low of 90f, high of 100f"
50855,chevron,distance,7 miles
50871,durham,monday,"overcast, low of 40f, high of 60f"
50872,durham,tuesday,"warm, low of 60f, high of 80f"
50873,durham,wednesday,"hot, low of 60f, high of 80f"
50874,durham,thursday,"warm, low of 90f, high of 100f"
50876,durham,saturday,"warm, low of 90f, high of 100f"
50878,fresno,monday,"drizzle, low of 50f, high of 70f"
50879,fresno,tuesday,"snow, low of 40f, high of 60f"
50880,fresno,wednesday,"misty, low of 30f, high of 50f"
50881,fresno,thursday,"windy, low of 90f, high of 100f"
50883,fresno,saturday,"hail, low of 80f, high of 100f"
50884,fresno,sunday,"frost, low of 40f, high of 60f"
50885,inglewood,monday,"blizzard, low of 50f, high of 60f"
50887,inglewood,wednesday,"clear skies, low of 20f, high of 40f"
50888,inglewood,thursday,"misty, low of 40f, high of 60f"
50889,inglewood,friday,"drizzle, low of 20f, high of 30f"
50891,inglewood,sunday,"stormy, low of 70f, high of 80f"
50893,atherton,tuesday,"raining, low of 60f, high of 80f"
50894,atherton,wednesday,"snow, low of 70f, high of 90f"
50896,atherton,friday,"raining, low of 80f, high of 90f"
50903,mountain_view,friday,"snow, low of 20f, high of 30f"
50904,mountain_view,saturday,"overcast, low of 30f, high of 50f"
50905,mountain_view,sunday,"stormy, low of 80f, high of 90f"
50906,camarillo,monday,"overcast, low of 80f, high of 90f"
50908,camarillo,wednesday,"dew, low of 80f, high of 90f"
50911,camarillo,saturday,"misty, low of 30f, high of 40f"
50913,exeter,monday,"blizzard, low of 30f, high of 50f"
50914,exeter,tuesday,"snow, low of 70f, high of 90f"
50916,exeter,thursday,"cloudy, low of 60f, high of 80f"
50917,exeter,friday,"stormy, low of 50f, high of 70f"
50965,san_jose,monday,"windy, low of 30f, high of 50f"
50966,san_jose,tuesday,"dew, low of 30f, high of 50f"
50968,san_jose,thursday,"dew, low of 40f, high of 50f"
50969,san_jose,friday,"raining, low of 40f, high of 50f"
50972,compton,monday,"drizzle, low of 70f, high of 90f"
50973,compton,tuesday,"misty, low of 80f, high of 90f"
50974,compton,wednesday,"cloudy, low of 30f, high of 40f"
50975,compton,thursday,"windy, low of 80f, high of 90f"
50976,compton,friday,"humid, low of 90f, high of 100f"
50977,compton,saturday,"foggy, low of 20f, high of 40f"
50978,compton,sunday,"drizzle, low of 80f, high of 90f"
50979,alameda,monday,"dew, low of 50f, high of 70f"
50980,alameda,tuesday,"foggy, low of 40f, high of 60f"
50982,alameda,thursday,"cloudy, low of 20f, high of 30f"
50983,alameda,friday,"hot, low of 90f, high of 100f"
50984,alameda,saturday,"foggy, low of 90f, high of 100f"
50986,mountain_view,monday,"clear skies, low of 20f, high of 40f"
50989,mountain_view,thursday,"snow, low of 50f, high of 70f"
50990,mountain_view,friday,"dry, low of 90f, high of 100f"
50991,mountain_view,saturday,"stormy, low of 30f, high of 50f"
50992,mountain_view,sunday,"rain, low of 60f, high of 70f"
50993,seattle,monday,"overcast, low of 30f, high of 40f"
50994,seattle,tuesday,"overcast, low of 50f, high of 70f"
50998,seattle,saturday,"snow, low of 30f, high of 50f"
51001,cleveland,tuesday,"foggy, low of 20f, high of 40f"
51003,cleveland,thursday,"raining, low of 30f, high of 40f"
51006,cleveland,sunday,"hail, low of 30f, high of 40f"
51008,carson,tuesday,"misty, low of 60f, high of 80f"
51009,carson,wednesday,"dew, low of 90f, high of 100f"
51010,carson,thursday,"raining, low of 80f, high of 100f"
51012,carson,saturday,"rain, low of 30f, high of 40f"
51054,los_angeles,monday,"overcast, low of 50f, high of 60f"
51055,los_angeles,tuesday,"drizzle, low of 20f, high of 40f"
51056,los_angeles,wednesday,"raining, low of 80f, high of 100f"
51057,los_angeles,thursday,"humid, low of 70f, high of 80f"
51060,los_angeles,sunday,"raining, low of 20f, high of 30f"
51067,fresno,sunday,"humid, low of 60f, high of 70f"
51069,mountain_view,tuesday,"hot, low of 80f, high of 90f"
51071,mountain_view,thursday,"blizzard, low of 20f, high of 40f"
51074,mountain_view,sunday,"overcast, low of 70f, high of 90f"
51075,downtown_chicago,monday,"warm, low of 50f, high of 70f"
51076,downtown_chicago,tuesday,"clear skies, low of 60f, high of 80f"
51078,downtown_chicago,thursday,"cloudy, low of 30f, high of 50f"
51081,downtown_chicago,sunday,"humid, low of 50f, high of 70f"
51084,inglewood,wednesday,"humid, low of 60f, high of 80f"
51085,inglewood,thursday,"frost, low of 40f, high of 50f"
51087,inglewood,saturday,"frost, low of 20f, high of 30f"
51089,redwood_city,monday,"drizzle, low of 30f, high of 40f"
51092,redwood_city,thursday,"rain, low of 60f, high of 70f"
51093,redwood_city,friday,"overcast, low of 50f, high of 70f"
51095,redwood_city,sunday,"snow, low of 80f, high of 100f"
51097,seattle,tuesday,"foggy, low of 50f, high of 70f"
51098,seattle,wednesday,"overcast, low of 70f, high of 90f"
51101,seattle,saturday,"blizzard, low of 20f, high of 30f"
51149,san_jose,friday,"foggy, low of 80f, high of 90f"
51151,san_jose,sunday,"foggy, low of 80f, high of 100f"
51152,menlo_park,monday,"warm, low of 70f, high of 90f"
51153,menlo_park,tuesday,"cloudy, low of 50f, high of 70f"
51154,menlo_park,wednesday,"rain, low of 80f, high of 100f"
51158,menlo_park,sunday,"windy, low of 40f, high of 50f"
51162,inglewood,thursday,"rain, low of 20f, high of 30f"
51163,inglewood,friday,"humid, low of 70f, high of 80f"
51164,inglewood,saturday,"windy, low of 60f, high of 80f"
51165,inglewood,sunday,"clear skies, low of 40f, high of 60f"
51170,new_york,friday,"dry, low of 50f, high of 70f"
51171,new_york,saturday,"raining, low of 30f, high of 50f"
51172,new_york,sunday,"cloudy, low of 60f, high of 70f"
51173,cleveland,monday,"windy, low of 50f, high of 70f"
51175,cleveland,wednesday,"windy, low of 80f, high of 90f"
51177,cleveland,friday,"clear skies, low of 30f, high of 50f"
51178,cleveland,saturday,"rain, low of 40f, high of 50f"
51179,cleveland,sunday,"snow, low of 20f, high of 30f"
51181,durham,tuesday,"dry, low of 40f, high of 60f"
51183,durham,thursday,"snow, low of 70f, high of 90f"
51184,durham,friday,"hot, low of 70f, high of 80f"
51186,durham,sunday,"foggy, low of 30f, high of 40f"
51187,downtown_chicago,monday,"humid, low of 60f, high of 70f"
51191,downtown_chicago,friday,"drizzle, low of 50f, high of 70f"
51192,downtown_chicago,saturday,"frost, low of 30f, high of 50f"
51194,carson,monday,"frost, low of 50f, high of 60f"
51195,carson,tuesday,"rain, low of 20f, high of 30f"
51196,carson,wednesday,"snow, low of 80f, high of 100f"
51197,carson,thursday,"cloudy, low of 60f, high of 80f"
51198,carson,friday,"hot, low of 70f, high of 80f"
51199,carson,saturday,"snow, low of 20f, high of 30f"
51200,carson,sunday,"cloudy, low of 50f, high of 70f"
51201,new_york,monday,"dry, low of 20f, high of 30f"
51203,new_york,wednesday,"drizzle, low of 40f, high of 50f"
51204,new_york,thursday,"overcast, low of 60f, high of 70f"
51208,brentwood,monday,"foggy, low of 70f, high of 90f"
51211,brentwood,thursday,"windy, low of 60f, high of 80f"
51213,brentwood,saturday,"raining, low of 60f, high of 80f"
51214,brentwood,sunday,"raining, low of 90f, high of 100f"
51215,san_mateo,monday,"foggy, low of 20f, high of 40f"
51216,san_mateo,tuesday,"stormy, low of 60f, high of 70f"
51219,san_mateo,friday,"cloudy, low of 40f, high of 50f"
51220,san_mateo,saturday,"dry, low of 70f, high of 80f"
51222,oakland,monday,"rain, low of 80f, high of 90f"
51224,oakland,wednesday,"foggy, low of 20f, high of 40f"
51226,oakland,friday,"warm, low of 70f, high of 80f"
51227,oakland,saturday,"cloudy, low of 70f, high of 80f"
51228,oakland,sunday,"snow, low of 30f, high of 40f"
51229,cleveland,monday,"windy, low of 70f, high of 80f"
51232,cleveland,thursday,"clear skies, low of 60f, high of 80f"
51238,grand_rapids,wednesday,"clear skies, low of 90f, high of 100f"
51240,grand_rapids,friday,"windy, low of 30f, high of 40f"
51241,grand_rapids,saturday,"rain, low of 90f, high of 100f"
51242,grand_rapids,sunday,"stormy, low of 60f, high of 80f"
51266,los_angeles,wednesday,"dew, low of 70f, high of 90f"
51267,los_angeles,thursday,"overcast, low of 60f, high of 80f"
51269,los_angeles,saturday,"blizzard, low of 50f, high of 60f"
51270,los_angeles,sunday,"dry, low of 30f, high of 40f"
51272,durham,tuesday,"misty, low of 30f, high of 40f"
51273,durham,wednesday,"raining, low of 60f, high of 80f"
51279,san_mateo,tuesday,"humid, low of 50f, high of 70f"
51280,san_mateo,wednesday,"overcast, low of 90f, high of 100f"
51281,san_mateo,thursday,"rain, low of 60f, high of 70f"
51285,danville,monday,"dry, low of 70f, high of 80f"
51286,danville,tuesday,"windy, low of 80f, high of 100f"
51288,danville,thursday,"cloudy, low of 50f, high of 70f"
51290,danville,saturday,"stormy, low of 20f, high of 40f"
51291,danville,sunday,"cloudy, low of 20f, high of 30f"
51292,brentwood,monday,"stormy, low of 70f, high of 90f"
51293,brentwood,tuesday,"foggy, low of 70f, high of 80f"
51294,brentwood,wednesday,"overcast, low of 40f, high of 60f"
51295,brentwood,thursday,"dry, low of 30f, high of 40f"
51296,brentwood,friday,"snow, low of 60f, high of 70f"
51297,brentwood,saturday,"windy, low of 20f, high of 30f"
51302,manhattan,thursday,"overcast, low of 50f, high of 70f"
51303,manhattan,friday,"clear skies, low of 50f, high of 70f"
51304,manhattan,saturday,"foggy, low of 80f, high of 100f"
51307,corona,tuesday,"hot, low of 80f, high of 90f"
51309,corona,thursday,"warm, low of 70f, high of 90f"
51311,corona,saturday,"raining, low of 60f, high of 80f"
51312,corona,sunday,"misty, low of 70f, high of 80f"
51365,compton,tuesday,"clear skies, low of 50f, high of 60f"
51367,compton,thursday,"drizzle, low of 40f, high of 60f"
51370,compton,sunday,"drizzle, low of 30f, high of 50f"
51371,mountain_view,monday,"clear skies, low of 30f, high of 50f"
51378,oakland,monday,"snow, low of 70f, high of 80f"
51379,oakland,tuesday,"warm, low of 60f, high of 80f"
51380,oakland,wednesday,"humid, low of 60f, high of 80f"
51394,downtown_chicago,wednesday,"raining, low of 40f, high of 50f"
51395,downtown_chicago,thursday,"blizzard, low of 20f, high of 30f"
51396,downtown_chicago,friday,"raining, low of 20f, high of 30f"
51398,downtown_chicago,sunday,"dry, low of 90f, high of 100f"
51399,seattle,monday,"foggy, low of 40f, high of 50f"
51402,seattle,thursday,"windy, low of 80f, high of 100f"
51403,seattle,friday,"clear skies, low of 20f, high of 30f"
51405,seattle,sunday,"humid, low of 60f, high of 70f"
51407,exeter,tuesday,"foggy, low of 80f, high of 90f"
51408,exeter,wednesday,"drizzle, low of 80f, high of 90f"
51410,exeter,friday,"drizzle, low of 60f, high of 80f"
51411,exeter,saturday,"cloudy, low of 20f, high of 30f"
51412,exeter,sunday,"raining, low of 30f, high of 50f"
51438,grand_rapids,tuesday,"raining, low of 30f, high of 50f"
51442,grand_rapids,saturday,"raining, low of 50f, high of 70f"
51443,grand_rapids,sunday,"snow, low of 40f, high of 50f"
51445,exeter,tuesday,"humid, low of 70f, high of 90f"
51447,exeter,thursday,"dry, low of 70f, high of 90f"
51451,boston,monday,"overcast, low of 80f, high of 100f"
51453,boston,wednesday,"frost, low of 30f, high of 40f"
51460,downtown_chicago,wednesday,"cloudy, low of 50f, high of 60f"
51462,downtown_chicago,friday,"windy, low of 40f, high of 50f"
51463,downtown_chicago,saturday,"overcast, low of 60f, high of 70f"
51464,downtown_chicago,sunday,"cloudy, low of 40f, high of 50f"
51466,san_mateo,tuesday,"snow, low of 50f, high of 60f"
51467,san_mateo,wednesday,"hot, low of 50f, high of 70f"
51468,san_mateo,thursday,"snow, low of 40f, high of 50f"
51472,cleveland,monday,"windy, low of 80f, high of 100f"
51474,cleveland,wednesday,"snow, low of 30f, high of 40f"
51476,cleveland,friday,"blizzard, low of 50f, high of 60f"
51477,cleveland,saturday,"frost, low of 30f, high of 40f"
51480,manhattan,tuesday,"warm, low of 80f, high of 90f"
51481,manhattan,wednesday,"rain, low of 40f, high of 50f"
51482,manhattan,thursday,"hot, low of 80f, high of 100f"
51483,manhattan,friday,"cloudy, low of 20f, high of 40f"
51485,manhattan,sunday,"warm, low of 90f, high of 100f"
51486,atherton,monday,"stormy, low of 40f, high of 60f"
51487,atherton,tuesday,"snow, low of 40f, high of 50f"
51488,atherton,wednesday,"windy, low of 90f, high of 100f"
51490,atherton,friday,"raining, low of 70f, high of 90f"
51491,atherton,saturday,"raining, low of 30f, high of 40f"
51495,seattle,wednesday,"frost, low of 50f, high of 60f"
51498,seattle,saturday,"dry, low of 20f, high of 40f"
51499,seattle,sunday,"dew, low of 30f, high of 40f"
51504,grand_rapids,friday,"overcast, low of 80f, high of 100f"
51508,brentwood,tuesday,"drizzle, low of 40f, high of 60f"
51510,brentwood,thursday,"dry, low of 20f, high of 30f"
51511,brentwood,friday,"snow, low of 50f, high of 60f"
51512,brentwood,saturday,"misty, low of 30f, high of 50f"
51515,menlo_park,tuesday,"raining, low of 20f, high of 40f"
51516,menlo_park,wednesday,"dry, low of 50f, high of 70f"
51519,menlo_park,saturday,"clear skies, low of 40f, high of 50f"
51520,menlo_park,sunday,"warm, low of 70f, high of 80f"
51521,camarillo,monday,"rain, low of 50f, high of 60f"
51523,camarillo,wednesday,"raining, low of 80f, high of 100f"
51525,camarillo,friday,"overcast, low of 30f, high of 40f"
51526,camarillo,saturday,"drizzle, low of 60f, high of 70f"
51527,camarillo,sunday,"snow, low of 80f, high of 100f"
51529,los_angeles,tuesday,"overcast, low of 60f, high of 80f"
51530,los_angeles,wednesday,"overcast, low of 20f, high of 40f"
51534,los_angeles,sunday,"raining, low of 90f, high of 100f"
51609,dentist_appointment,date,the 15th
51661,san_mateo,wednesday,"raining, low of 90f, high of 100f"
51664,san_mateo,saturday,"warm, low of 30f, high of 40f"
51670,boston,friday,"windy, low of 70f, high of 90f"
51676,inglewood,thursday,"warm, low of 80f, high of 90f"
51677,inglewood,friday,"foggy, low of 80f, high of 100f"
51678,inglewood,saturday,"snow, low of 30f, high of 40f"
51680,seattle,monday,"overcast, low of 70f, high of 90f"
51683,seattle,thursday,"cloudy, low of 80f, high of 90f"
51686,seattle,sunday,"raining, low of 30f, high of 40f"
51687,downtown_chicago,monday,"foggy, low of 70f, high of 80f"
51688,downtown_chicago,tuesday,"rain, low of 80f, high of 100f"
51689,downtown_chicago,wednesday,"snow, low of 80f, high of 100f"
51693,downtown_chicago,sunday,"hot, low of 90f, high of 100f"
51694,durham,monday,"windy, low of 60f, high of 80f"
51700,durham,sunday,"overcast, low of 30f, high of 40f"
51703,grand_rapids,wednesday,"windy, low of 60f, high of 70f"
51707,grand_rapids,sunday,"warm, low of 40f, high of 60f"
51778,mountain_view,monday,"overcast, low of 60f, high of 80f"
51781,mountain_view,thursday,"cloudy, low of 40f, high of 60f"
51785,atherton,monday,"cloudy, low of 70f, high of 80f"
51786,atherton,tuesday,"stormy, low of 60f, high of 70f"
51787,atherton,wednesday,"misty, low of 60f, high of 80f"
51789,atherton,friday,"foggy, low of 70f, high of 80f"
51791,atherton,sunday,"snow, low of 40f, high of 50f"
51792,grand_rapids,monday,"clear skies, low of 40f, high of 60f"
51793,grand_rapids,tuesday,"snow, low of 80f, high of 100f"
51794,grand_rapids,wednesday,"stormy, low of 20f, high of 30f"
51795,grand_rapids,thursday,"dry, low of 80f, high of 100f"
51796,grand_rapids,friday,"rain, low of 20f, high of 30f"
51797,grand_rapids,saturday,"misty, low of 60f, high of 80f"
51799,inglewood,monday,"clear skies, low of 90f, high of 100f"
51801,inglewood,wednesday,"dry, low of 90f, high of 100f"
51806,san_mateo,monday,"foggy, low of 60f, high of 70f"
51807,san_mateo,tuesday,"foggy, low of 70f, high of 90f"
51809,san_mateo,thursday,"hail, low of 30f, high of 50f"
51812,san_mateo,sunday,"hail, low of 80f, high of 90f"
51813,cleveland,monday,"windy, low of 90f, high of 100f"
51816,cleveland,thursday,"dew, low of 30f, high of 50f"
51819,cleveland,sunday,"hot, low of 80f, high of 100f"
51820,los_angeles,monday,"dry, low of 20f, high of 40f"
51824,los_angeles,friday,"snow, low of 20f, high of 30f"
51825,los_angeles,saturday,"clear skies, low of 40f, high of 60f"
51849,redwood_city,tuesday,"windy, low of 30f, high of 40f"
51851,redwood_city,thursday,"drizzle, low of 70f, high of 80f"
51854,redwood_city,sunday,"raining, low of 30f, high of 40f"
51855,new_york,monday,"hail, low of 80f, high of 100f"
51856,new_york,tuesday,"stormy, low of 80f, high of 90f"
51858,new_york,thursday,"overcast, low of 70f, high of 80f"
51861,new_york,sunday,"dry, low of 80f, high of 100f"
51863,downtown_chicago,tuesday,"cloudy, low of 20f, high of 40f"
51865,downtown_chicago,thursday,"cloudy, low of 60f, high of 70f"
51867,downtown_chicago,saturday,"hail, low of 80f, high of 90f"
51868,downtown_chicago,sunday,"drizzle, low of 30f, high of 40f"
51869,atherton,monday,"frost, low of 30f, high of 50f"
51870,atherton,tuesday,"warm, low of 70f, high of 80f"
51871,atherton,wednesday,"drizzle, low of 90f, high of 100f"
51872,atherton,thursday,"overcast, low of 30f, high of 40f"
51873,atherton,friday,"overcast, low of 90f, high of 100f"
51875,atherton,sunday,"foggy, low of 60f, high of 70f"
51876,danville,monday,"cloudy, low of 40f, high of 50f"
51877,danville,tuesday,"dry, low of 60f, high of 70f"
51878,danville,wednesday,"hail, low of 60f, high of 80f"
51879,danville,thursday,"raining, low of 50f, high of 60f"
51881,danville,saturday,"raining, low of 80f, high of 90f"
51885,seattle,wednesday,"foggy, low of 50f, high of 60f"
51886,seattle,thursday,"rain, low of 20f, high of 30f"
51889,seattle,sunday,"hot, low of 60f, high of 80f"
51890,boston,monday,"cloudy, low of 70f, high of 80f"
51892,boston,wednesday,"blizzard, low of 30f, high of 50f"
51894,boston,friday,"drizzle, low of 40f, high of 50f"
51896,boston,sunday,"foggy, low of 40f, high of 50f"
51897,exeter,monday,"rain, low of 30f, high of 50f"
51898,exeter,tuesday,"snow, low of 40f, high of 50f"
51899,exeter,wednesday,"foggy, low of 80f, high of 100f"
51901,exeter,friday,"overcast, low of 30f, high of 40f"
51902,exeter,saturday,"hail, low of 40f, high of 50f"
51903,exeter,sunday,"cloudy, low of 40f, high of 50f"
51904,seattle,monday,"clear skies, low of 20f, high of 40f"
51905,seattle,tuesday,"foggy, low of 70f, high of 90f"
51909,seattle,saturday,"foggy, low of 60f, high of 70f"
51911,los_angeles,monday,"dry, low of 70f, high of 90f"
51918,downtown_chicago,monday,"dew, low of 70f, high of 80f"
51920,downtown_chicago,wednesday,"snow, low of 50f, high of 70f"
51922,downtown_chicago,friday,"snow, low of 40f, high of 60f"
51925,grand_rapids,monday,"hail, low of 70f, high of 90f"
51928,grand_rapids,thursday,"stormy, low of 50f, high of 70f"
51929,grand_rapids,friday,"clear skies, low of 70f, high of 90f"
51930,grand_rapids,saturday,"humid, low of 80f, high of 90f"
51935,oakland,thursday,"cloudy, low of 80f, high of 90f"
51938,oakland,sunday,"blizzard, low of 50f, high of 60f"
51939,carson,monday,"snow, low of 50f, high of 70f"
51941,carson,wednesday,"clear skies, low of 90f, high of 100f"
51945,carson,sunday,"misty, low of 20f, high of 40f"
51947,san_francisco,tuesday,"windy, low of 60f, high of 80f"
51949,san_francisco,thursday,"rain, low of 40f, high of 50f"
51950,san_francisco,friday,"clear skies, low of 40f, high of 50f"
51951,san_francisco,saturday,"raining, low of 50f, high of 60f"
51952,san_francisco,sunday,"dry, low of 80f, high of 90f"
51953,durham,monday,"humid, low of 70f, high of 90f"
51956,durham,thursday,"snow, low of 50f, high of 70f"
51960,new_york,monday,"dry, low of 50f, high of 70f"
51964,new_york,friday,"rain, low of 20f, high of 40f"
51965,new_york,saturday,"drizzle, low of 30f, high of 50f"
51966,new_york,sunday,"clear skies, low of 30f, high of 50f"
51970,cleveland,thursday,"humid, low of 80f, high of 90f"
51971,cleveland,friday,"overcast, low of 20f, high of 40f"
51974,downtown_chicago,monday,"clear skies, low of 80f, high of 90f"
51976,downtown_chicago,wednesday,"humid, low of 70f, high of 90f"
51980,downtown_chicago,sunday,"drizzle, low of 80f, high of 100f"
51981,compton,monday,"dry, low of 90f, high of 100f"
51982,compton,tuesday,"raining, low of 80f, high of 100f"
51985,compton,friday,"snow, low of 80f, high of 90f"
51988,mountain_view,monday,"dry, low of 50f, high of 60f"
51995,camarillo,monday,"rain, low of 80f, high of 100f"
51996,camarillo,tuesday,"dew, low of 80f, high of 90f"
51997,camarillo,wednesday,"cloudy, low of 20f, high of 40f"
51998,camarillo,thursday,"dry, low of 50f, high of 60f"
51999,camarillo,friday,"misty, low of 80f, high of 90f"
52000,camarillo,saturday,"dry, low of 90f, high of 100f"
52001,camarillo,sunday,"cloudy, low of 80f, high of 90f"
52002,oakland,monday,"dew, low of 40f, high of 60f"
52003,oakland,tuesday,"cloudy, low of 60f, high of 70f"
52005,oakland,thursday,"foggy, low of 30f, high of 50f"
52006,oakland,friday,"hot, low of 70f, high of 80f"
52007,oakland,saturday,"overcast, low of 70f, high of 90f"
52009,durham,monday,"dew, low of 30f, high of 40f"
52010,durham,tuesday,"stormy, low of 20f, high of 40f"
52011,durham,wednesday,"dew, low of 40f, high of 60f"
52012,durham,thursday,"windy, low of 20f, high of 30f"
52013,durham,friday,"windy, low of 50f, high of 60f"
52015,durham,sunday,"raining, low of 30f, high of 40f"
52016,alhambra,monday,"misty, low of 50f, high of 70f"
52017,alhambra,tuesday,"rain, low of 60f, high of 70f"
52018,alhambra,wednesday,"frost, low of 30f, high of 50f"
52021,alhambra,saturday,"dry, low of 50f, high of 70f"
52027,downtown_chicago,friday,"humid, low of 70f, high of 80f"
52028,downtown_chicago,saturday,"hot, low of 50f, high of 70f"
52030,inglewood,monday,"foggy, low of 30f, high of 50f"
52031,inglewood,tuesday,"misty, low of 70f, high of 90f"
52033,inglewood,thursday,"warm, low of 90f, high of 100f"
52036,inglewood,sunday,"blizzard, low of 40f, high of 50f"
52041,fresno,friday,"stormy, low of 20f, high of 30f"
52043,fresno,sunday,"raining, low of 20f, high of 30f"
52182,boston,sunday,"dry, low of 30f, high of 40f"
52183,grand_rapids,monday,"dew, low of 80f, high of 100f"
