inputs,outputs
"will it be stormy in grand_rapids during the week? it is predicted to be stormy in grand_rapids on tuesday. alright, thank you",you are welcome.
will it be foggy in downtown_chicago on tuesday?,"yes, it will be foggy downtown_chicago on tuesday."
where is the nearest parking garage?,the nearest is Dish_Parking at 550 alester ave. would you like directions there?
"is there any rain in the local forecast what city? grand_rapids, its it going to rain on saturday? there will be no rain on saturday in grand_rapids. thank you car!",you are welcome!
find me a place where i can enjoy some chinese food around here. we're 4 miles away from Mandarin_Roots and 5 miles away from Chef_Chu's: do you prefer one of them? which is faster?,Mandarin_Roots is only 4 miles away at 271 springer street with no traffic.
i have an eye doctors appointment on the 12th at 5 pm,ok setting reminder for your eye doctor appointment on the 12th at 5
what is the weather like this week you would like to know what the weather is like for what city? will it be hot in grand_rapids this week?,it will not be hot in grand_rapids this week.
remind me what's planned for the meeting today you have 2 meeting scheduled today to meeting_agenda what is my agenda today? you have a meeting with the meeting_party to meeting_agenda on meeting_date at 2pm in conference room 100 okay that solves it.,okay
what is the weather is it going to rain,what city are you wanting to know about?
check weather forecast for seattle today in seattle it will be seattle_monday_weather. are you interested as well in other days' weather forecast? what about the next 2 days? the 2 day forecast predicts temperatures in the lows of 50f and highs of 80f thank you,no problem
where is the nearest rest stop?,the closeest rest stop is Comfort_Inn which is 1 mile away.
get me directions to the nearest coffee shop,the nearest coffee shop is 6 miles away at 792 bedoin street and there is no traffic.
on what date is my doctor's appointment and who is going?,your doctor's appointment is on the 5th with alex.
find a coffee shop near me please. we're Starbucks_distance away from starbucks: set the navigation there? what is the address?,the address for starbucks is Starbucks_address
what time is my appointment today,your doctor_appointment is on the calendar for today at 3 pm.
when is my dentist_appointment,your dentist_appointment is monday at 7pm.
"find out immediately the location, time, and date for my meeting.","for which one? i have one in conference room 100 at 10am on friday, and one in conference room 50 at 10 am on saturday."
check out my appointment,"check appointment for doctor, optometrist or dentist?"
"confirm dentist_appointment on the 12th at 4:50 pm i am showing your dentist_appointment is on monday at 10 am. okay i need to find out the location, the agenda, and who is joining please.  i see that there is no information for the requested items, would you like to update them now?  yes i would, thanks. i'm ready to update that whenever you are.  it will be at central hospital with my sister to get a tooth pulled.","your agenda, parties and event location for your dentist_appointment on monday at 10pm has been updated."
show me traffic for going home,"home is 1 mile away with home_traffic_info, do you need the address?"
what is the date of my next doctor_appointment and who will be attending?,you have a doctor_appointment on thursday with jon and another on the 11th with your sister.
find the nearest parking lot we are 6 miles away from Palo_Alto_Garage_R and there is heavy traffic on its way which one is it the quickest route to reach?,there is heavy traffic on the route to Palo_Alto_Garage_R. i'm sorry this is the only parking garage i am able to locate
"can you set my calendar for football activity at 1pm, the 4th, with tom?","okay, setting a reminder for football activity with tom for the 4th at 1pm."
tell me the time and date that my next tennis game is scheduled at,it is thursday at 7 pm.
find my friend's current address please.,jill lives at 347 alta mesa ave.
give me the 7 day weather forecast what city do you want the weather for? san_mateo.,"it will be warm in the beginning of the week and turn to rain and snow in san_mateo next week.  it will be 30-40f monday, 70-80f tuesday, 60-70f wednesday, 30-40f thursday, 90-100f friday, 90-100f saturday, and 40-60f sunday."
who is going to yoga and when is it?,your aunt will be going to yoga with you on yoga_activity_date at 7 pm.
what time is my meeting scheduled,your meeting is scheduled for meeting_time.
find the shortest distance to a chinese restaurant nearby the nearest chinese restaurant is at Jing_Jing. want more details? please,Jing_Jingcan be found at 113 arbol dr 1 mile away. there is a car collision nearby
i want pizza/,"there is a Pizza_Chicago, 3 miles away with heavy traffic at 915 arbol dr"
what will the temperature be this weekend what city are you inquiring about? downtown_chicago please. find out the temperature for this week car.,"this week the temperature in downtown_chicago will be monday: 30f, high of 40f, tuesday: low of 80f, high of 90f, wednesday: low of 20f, high of 30f, thursday: low of 20f, high of 40f, friday: low of 20f, high of 30f, saturday: low of 90f, high of 100f, sunday: low of 20f, high of 30f"
"which days are rain forecasted in what city would you like the forecast? alameda, tell me about right now",there is alameda_monday_weather in alameda right now.
"what's the weather going to be like this week what city do you want the weather for? tell me about brentwood, will it brentwood_tuesday_weather sometime this week?",it's gonna brentwood_tuesday_weather on tuesday in brentwood
what is my adress?,you live at 10 ames street.
"get me the home address of my friend that is the closest to my location. we're jacks_house_distance away from jack's house, i sent his address' position on your screen what is the address? jacks_house_address please pick the quickest route to go there and send the info on my screen jacks_house information sent to screen and set to 864 almanor ln on the quickest route.  thank you very much car!",you're welcome!
"can you check the time and date of my dinner? your dinner is on dinner_date at dinner_time.  perfect, thank you!",you're welcome
what's the weather forecast in new_york what information can i give you about new_york's weather? i need to know what the lowest temperature will be in new_york in the next few days.,it will be 30f on wednesday in new_york.
what is the weather in new_york city,what can i tell you about the weather in new_york?
remind me about the conference tomorrow at 12 pm in conference room 100,"okay, setting a 12 pm reminder for your conference tomorrow in conference room 100."
tell me if it will be cloudy in menlo_park tomorrow,it will be cloudy in menlo_park tomorrow.
"please give me the address and directions to a coffee shop via the quickest route.  Peets_Coffee is located at 9981 archuleta ave, 1 mile away in heavy traffic. setting directions now.  can we avoid the heavy traffic at all?",we will avoid the heavy traffic to peets..
what's the highest temperature for this week,you wanna know the highest temperature of which city?
check the next 48 hours and tell me if it's supposed to be stormy in san_francisco,it will not be stormy in san_francisco this week.
give me the closest fast food restaurant i do not have a listing for any fast food places but i do have a pizza restaurant that is Pizza_Hut_distance away. would you like more info on it? sure find the fastest route to a pizza place that is within Pizza_Hut_distance of me.,"Pizza_Hut is 3 miles away, would you like the address?"
will it be windy in redwood_city today? it is not predicted to be windy today in redwood_city okay thanks,you are very welcome
"what is the weather for next week what location do you want the weather for? i will traveling to mountain_view so i need information for there please. any day in particular you need the forecast for or do you just want the whole week for mountain_view? for the whole week, please!",the weather next week for mountain_view is going to be a series of ups and downs from hail on monday to a blizzard on tuesday and to rain on thursday. the highs are forecast to be near 100 with lows near 20.
what's the weather like today and tomorrow where would you like to hear the forecast from? i want to hear grand_rapids highest temperature for today and tomorrow,"in grand_rapids, today's high temp is 40f, tomorrow's will be 80f"
i have an optometrist appointment the 7th at 3pm,"okay, i will set a reminder and schedule a optometrist appointment on the 7th at 3pm for you."
"what's the weather like on my drive today what city will you be driving in? im in new_york, find out if there is snow today there will not be snow in new_york today. thanks.","no problem, you're welcome."
"please look up the date and time of my swimming_activity. you have three swimming activities scheduled. one on the 4th at 9am, another on the 12th at 1pm, and the last on swimming_activity_date at 4pm. perfect.",you are welcome.
what's the temperature going to be like this week,you want the weekly temperature for what city?
"remind me about my optometrist appointment with my father on the 29th, at 7 pm okay, i will be sure to remind you about that. is there anything else? list my current reminders. you have an optometrist appointment on the 29th at 7pm. your father is attending  thank you.",no problem
"give me directions to the nearest grocery store there is Trader_Joes 5 miles away: would you like to get more info? sure, please send me its address on screen and pick a route to avoid all heavy traffic Trader_Joes is located at 408 university ave. got it, thanks! awesome, you're welcome. great!",glad to help
"please give me the address and directions via the quickest route to the nearest gas station.  the valero and shell are both Shell_distance away, but there is a Shell_traffic_info. do you prefer one one? let's try to go to shell.","okay, there is moderate traffic on the route to shell. you will find it at Shell_address"
"what's the weather going to be like this week what city do you want the weather for? tell me about brentwood, will it brentwood_tuesday_weather sometime this week? it's gonna brentwood_tuesday_weather on tuesday in brentwood okay, thank you",happy to help
where is the closest chinese restaurant? the closest chinese restaurant is Jing_Jing_distance away. what is the address? Jing_Jing's address is 113 arbol dr. thank you!,have a great day and happy to help.
can you find me a coffee place near me? coupa is Coupa_distance away. is there any traffic on the way there? the route to coupa does not have any traffic can you pull up the route and put it on the screen. coupa is Coupa_distance away at Coupa_address. the screen has been set to display the address.  thank you car!,you're welcome; drive safely.
what is the time of my swimming_activity and who is attending? your swimming_activity is at 4 pm with alex. thanks.,your swimming_activity with alex is on saturday at 4pm.  your swimming_activity with your mother is at 5pm on monday.
"will the weather be overcast in atherton over the next 7 days? no, the weather won't be overcast in atherton in next week what is the 7 day forecast for atherton next week?","in atherton, it will be atherton_sunday_weather on monday, the atherton_saturday_weather on tuesday, clear on wednesday, the atherton_saturday_weather on thursday, atherton_friday_weather on friday, clear on saturday, and hatherton_sunday_weather on suday."
"find nearest chinese restaurant there is Panda_Express 6 miles away: send you the coordinates on screen? send me the quickest route to Panda_Express. setting quickest route to Panda_Express on gps now. would you like the address? yes, please, send it on my map, thank you! i sent the address Panda_Express_address on your map: is there anything else i could do for you? that's it, thank you very much car!","you're welcome, i'm here to assist you!"
"i'm kind of hungry, locate a pizza shop. there is a Pizza_Chicago 6 miles away. what is the address?",Pizza_Chicago	is at 915 arbol dr.
"show me traffic for going home home is 1 mile away with home_traffic_info, do you need the address? no, thanks, i remember it, just avoid all heavy traffic and show me the route on screen home is located at home_address and has home_traffic_info. we should be there soon.  thanks so much.",you're welcome!
"tomorrow's forecast what city are you interested in? tomorrow's forecast for boston. tomorrow in boston there will be boston_saturday_weather, and aboston_saturday_low with aboston_saturday_high. okay, thanks!",you're welcome!
give me directions to a coffee place,we're Philz_distance away from philz but there is a Philz_traffic_info
"what's the seven day forecast for new_york city new_york's weekly forecast is scattered being warm, hot, and clear skies. the lows are in the 30s while the highs are up to 90f. on what day is it supposed to hit 90f?",it is supposed to be 90f on wednesday in new_york.
set a reminder for optometrist appointment at 2 pm today with marie.,"okay, i am scheduling a optometrist appointment with marie for today at 2pm."
"show me the locations of all of the nearby motels the Comfort_Inn located at 753 university ave is the only rest stop i can find. there is a road block nearby, but it is 3 miles away ok, can you navigate us there? sure, i sent the info on your map, drive carefully! thank you.",you're welcome!
what's the forecast for the weather today what city are you asking about? i'd like to know if there are going to be blizzard on boston today,today it's gonna be boston_monday_weather in boston
when is my optometrist_appointment and who is attending?,two are scheduled; one on the 13th at 9 am with marie and one on optometrist_appointment_date at 11 am with tom.
you tell me if the forecast for the next week calls for it to be above 86 degrees on any day,what city are you inquiring about?
find me chinese restaurants within 3 miles of my current location i'm sorry but the nearest one is P.F._Changs_distance away: go there anyway? yes but provide me with the quickest route please.,this route to P.F._Changs has moderate traffic. would you like the address?
find the closest starbucks,there is a starbucks Starbucks_distance away from here: would you like me to give you the coordinates on the screen?
give me directions to the nearest place where i can have a cup of tea Palo_Alto_Cafe is 1 mile away at 436 alger dr please pick a route to avoid all heavy traffic and let's go there!,unfortunately there is a car collision nearby but since we're just Palo_Alto_Cafe_distance away i sent on your screen another route to reach faster
what shopping centers are around?,Town_and_Country is the only shopping center.
local chinese restaurant is needed pronto.,Mandarin_Roots is a chinese restaurant located 1 mile away.
"schedule a doctor appointment with alex for the 29th at 11am. it has been set, doctor appointment with alex for the 29th at 11am. thanks for the help.",you're welcome
"where can i get pizza? we're 5 miles away from Pizza_My_Heart, they're loved on yelp! would you like to go there? yes sounds great. set the quickest route please. the quickest route to Pizza_My_Heart is through moderate traffic, 5 miles away. thank you for the help.","always happy to help, you're welcome."
is it going to snow today,where are you wanting to know if it's going to snow? what city?
"schedule a reminder for my tennis activity at 6pm, the tenth with father.","ok, reminder for tennis with your father on the tenth at 6pm is set."
where can i go shopping?,"i suggest you Ravenswood_Shopping_Center, it's 5 miles away and there is moderate traffic"
"please, set a reminder for a meeting at 1pm with hr to sign the nda! i will set a reminder for a meeting at 1pm with hr to sign the nda. thanks!",anytime!
in boston is it currently misty?,currently there are boston_tuesday_weather in boston
when are we getting together for football? and who's coming?,got it
what time is the meeting,the meeting is at meeting_time
car what is the weather going to be like in the next several days where do you want to know the weather for? will it rain in inglewood this weekend?  it will not rain in inglewood this weekend. thanks a lot.,you are very welcome
"where can i go shopping? Stanford_Shopping_Center is 1 mile away. that's good, please send me a quick route on my screen",Stanford_Shopping_Center is at 773 alger dr.
is it going to be overcast or cloudy at all any day this week which location should i look up information about? durham the weather forecast for durham does not show that it will be cloudy or overcast this week. thanks.,i'm here to help!
"find me the quickest route to the gas station.  there is a chevron Chevron_distance away. is chevron the closest? if so send me the address. chevron is the closest at Chevron_address. then pick a quick route and let's go there, thank you! taking you to chevron. great, thanks again",you are welcome
schedule an appointment for yoga,what date and time do you wish to schedule for yoga?
where does my friend live? jack or jill? the one i can get to quickest.,jacks_house is 2 miles away at 864 almanor ln.
car what is the temperature going to be today and tomorrow,what city do you want to hear today and tomorrow's temperature for?
where is the closest gas station and what are the directions to get there the fastest?,"the closest gas station with Shell_traffic_info is shell, located at Shell_addressenue. there is also a gas station located closer, but there is a road block. would you like the directions for shell?"
"on wednesday will there be alhambra_wednesday_weather in alhambra yes, there will be alhambra_wednesday_weather in alhambra on wednesday. thanks.",you're welcome.
where is the house,are you talking about your home?
what is the weather like today in tomorrow,what city are you inquiring about?
i want pizza.,i have an address for a pizza spot located Pizza_My_Heart_distance away. would you like more info?
"where's the nearest shopping mall the nearest shopping center is the Ravenswood_Shopping_Center, which is about 2 miles away. did you want to go there? yes please. setting gps to 434 arastradero road.  thanks for the help.",you're welcome.
what's the temperature outside like today what location would you like the temperature for? exeter it is 30-40f outside in exeter today. thanks for the information.,you're welcome!
check the weather for today what location are you wanting to know the weather for? i wanting to know if it will rain in grand_rapids today,it will not rain in grand_rapids today.
"where's parking there is a parking garage 3 miles away, its name is Stanford_Oval_Parking let's go there, thank you.","you're welcome, have a great day."
i feel like some coffee where's the nearest place,we're 5 miles away from Peets_Coffee	
"where is the parking garage in the area? there is Stanford_Oval_Parking, it's 4 miles away: does it sound good? what is the address? Stanford_Oval_Parking is at 610 amarillo ave. thanks.",you're welcome.
get the address to the nearest shopping mall.,Ravenswood_Shopping_Center is at 434 arastradero rd.
tell me the best route to get home with the least amount of traffic home is only 1 mile away and there is home_traffic_info. would you like the directions now?  yes sounds good.  setting navigation now.  pick the fastest way please! setting navigation to home_address now. thank you car!,you're very welcome!
"will it be cloudy in los_angeles on thursday? it's not gonna be cloudy in los_angeles on thursday, the weather forecast calls for hail thank you",you are welcome.
"get the address to my home that is within 3 miles and hurry. your home is home_distance away, i sent its position on your screen, drive carefully! what is the address?",the address is home_address
where is the closest coffee shop?,"the closest coffee shop is startbucks found at 792 bedoin street. it is 2 miles away, but there is a car collision nearby"
i need to schedule a dentist visit.,what time would you like a dentist visit scheduled?
will the weather be cloudy next week,what location do you want the weather for?
"what is the weather going to be like tomorrow show me the 7 day forecast what city shall i look the 7 day forecast in? sorry, i actually need to know what the highest temperature will be in corona tomorrow.  the high temperature for corona tomorrow is supposed to be about 100f. thanks",anytime.
what date is my optometrist_appointment on and who will be attending?  your optometrist_appointment is on the 3rd with jon. thanks.,you are welcome.
"what is the forecast in my city what city do you want the weather for? inglewood, what's the weekly weather looking like? there is a wide range of conditions for inglewood next week, from 40-100f and inglewood_wednesday_weather to inglewood_tuesday_weather.  are there any particular details you would like? when is it expected to inglewood_wednesday_weather? it is expected to inglewood_wednesday_weather on wednesday in inglewood. thanks.",no problem!
where's the closest place to park the closest parking garage is 4 miles away. would you like the address and name of it? yes please.,"the parking garage is the Webster_Garage, 3 miles away at 880 ames ct"
"show the route to my friend's house are you talking about the friend at 5672 barringer street? actually, can i get the address for my home?",your home address is set to home_address. anything else?
"pull up directions to 5672 barringer street i don't see 5672 barringer street nearby; can you confirm that that is the destination you want? yes, it should be near me in the direction we're going now i still do not see 5672 barringer street nearby. home is nearby at home_distance away; do you wish to go there? yes, please show on the map the quickest way to get there mapping route to home, home_address home_distance away with a home_traffic_info ok thanks for the information.","you're welcome, happy to be of assistance."
what time is dinner and who is going?,"you have 3 dinners scheduled, one with dinner_party, one with your dinner_party, and one with your dinner_party."
when am i playing tennis,your tennis game is at 7 pm wednesday.
"what's the weather today in what city? the temperature in exeter. it is between 60-70f today in exeter. okay, thanks!",anytime
let me know if there will be snow and ice in the next week's forecast what city are you wanting to know if there is going to be snow and ice? new_york there is no snow or ice expected in new_york this week. thank you.,you are welcome.
show me the route to coffee shop we are Teavana_distance away from teavana: would you like me to send you its address on screen? is it the quickest to get to from my current location? yes teavana is the only place close to you at Teavana_distance away located at Teavana_address. do you want me to set the gps? set gps on route to avoid Teavana_traffic_info.,"i found some alternate road, follow your gps and let's hope to not get lost... just kidding!"
"i'd love to go shopping are there any malls nearby the Topanga_Mall is closest at 4 miles away, with no traffic. would you like to go there?  i would have liked something within 3 miles, but that is fine. give me the directions.",setting directions now for Topanga_Mall_address.
"where can i get groceries? there is two grocery stores nearby; one called safeway at Safeway_distance away and one called trader joes and it's 8 miles away.  let's go at safeway, show me the fastest route please",here is the fastest route to safeway.
can you find me a coffee place near me? coupa is Coupa_distance away. is there any traffic on the way there?,the route to coupa does not have any traffic
there will be any overcast in oakland on next weekend?,it will not be overcast in oakland next weekend.
please tell me what time my yoga_activity is and who will be attending.   your upcoming yoga_activity is at 4pm with tom.  thank you.,you're welcome
set a reminder for the conference please confirm the day of the conference today.  and at what time would you like the reminder?  1 pm,i have set a reminder for the conference today at 1 pm
take me to a fast food restaurant we are 3 miles away from Pizza_My_Heart and 4 miles away from Pizza_Chicago: which one do you prefer? let's go to the one near me and on the quickest route going to Pizza_My_Heart. thanks can you show me the address please?,"i sent the address on your screen, Pizza_My_Heart_address, you're welcome!"
"could you tell me what day and time my meeting is on?  your meeting is set for meeting_date at meeting_time. what is the agenda? the purpose of your meeting on meeting_date at 4 pm is to go over the quarterly report. great, thanks.",no problem
check to see if i have any meetings or conferences in the near future,meeting_agenda is scheduled for meeting_date at 3pm in meeting_room.
"where is the meeting and when is it, also who is attending?","for which one? i have you listed for two, one in conference room 100 at 11 am on the 20th with executive team, and one in conference room 50 at 3pm on tuesday with conference_party."
tell me what the temperature will be like for the next week,for what city are you interested in the weather?
"car i need to get to some rest stop, i'm tired, please find something in the local area Hotel_Keen is 6 miles away. what is the address? Hotel_Keen is at 578 arbol dr. is there any traffic on the way there?","no, there will not be any traffic on the way to Hotel_Keen"
is it going to san_francisco_monday_weather in the next few days tell me when,what city are you asking about?
find the address to my home in the local area. your home is at home_address. ok thanks set the gps there please. gps set for home_address. thanks.,you're welcome!
is there any rain in the local forecast where are you wanting to know if it's going to rain? i would like to know for san_mateo. it is supposed to san_mateo_saturday_weather monday and saturday and rain on sunday. thank you.,glad to help
find out if it's going to be cloudy next week which city are you wondering about the cloudy forecast for? compton,it is not predicted to be cloudy this week in compton
"will it snow in fresno in the next week?  there isn't any snow predicted in fresno next week great, thanks for the assistance.",you are very welcome.
fastest way to get to a nearby coffee place?,the best option is Cafe_Venetia at 3 miles away with moderate traffic. you want the address?
please add a yoga activity to my schedule on the 29th at 4pm with tom.,your activity is set. you are welcome
please give me directions to a nearby parking garage parking lot,"the closest parking garage is Dish_Parking at 550 alester ave, 2 miles away. setting directions now."
where is a gas station within 2 miles? i do not have a gas station listed in the 2 mile range. the closest one is Chevron_distance away. what is the address? chevron is located Chevron_distance away at Chevron_address. with Chevron_traffic_info.  thanks,you're welcome
"what time and date do you have for my football_activity? four football activities are scheduled; two on football_activity_date at 1 pm and 2 pm, one on the 19th at 11 am, and one monday at 5 pm. thank you greatly.",you are welcome.
will it be foggy in redwood_city on wednesday? it should not be foggy on wednesday in redwood_city thanks.,you are welcome.
car i wanna do shopping: is there any shopping center near my current location?,Stanford_Shopping_Center is 2 miles away.
how hot is it going to be this week what city would you like weather information for? i need to know if it is going to be hot in exeter this week.,this week in exeter the temperatures do not show that it will be hot. the warmest day of the week will be sunday with highs in the 80f
on thursday will it be overcast in exeter?,the weather forecast for thrusday in exeter is exeter_thursday_weather
i need information about my yoga.,"your yoga_activity is on tuesday at 7 pm, martha will be there."
over the next seven days will there be any drizzle in camarillo?,"the weather forecast doesn't call for drizzle in camarillo this week, but it might camarillo_wednesday_weather on tuesday and wednesday"
"find directions to home i do not have directions for home at this moment. my home is within 3 miles, does this help? do you mean you want to go at tom's house? it's the only private address i have in a 3 miles range. yes please, that will do.  i've marked the address on your gps, 580 van ness ave thank you there is currently no traffic on the way to tom's house.  thank you car, let's go on the quickest route!","you're welcome, just follow your gps now, i've picked for you the fastest route"
where is the nearest pizza place?,the nearest pizza restaurant is Pizza_Hut at 704 el. camino real.
please guide me to the closest parking garage.  the nearest parking garage is Civic_Center_Garage at 270 altaire walk 2 miles away. please be aware that a road block has been reported. thank you you're welcome. drive carefully.  thanks once again,you're welcome.
will it be frost during the weekend in boston?,there will not be frost during the weekend in boston.
schedule a dinner at 5pm of the 12th of current month with my father.,scheduling dinner at 5 pm on the 12th of this month with your father.
what is the time and date for my yoga_activity?,you have two yoga activities scheduled; one for yoga_activity_date at 3 pm with martha and one for the 5th at 2 pm with tom.
what is the time and date of my doctor_appointment.,you have two doctor_appointments set; one on the 2nd at 2 pm and one on the 13th at 1 pm.
will there be frost in durham next week?,there won't be frost in durham during the next week
when is taking_medicine scheduled and who is attending? you have two reminders set for taking_medicine; one on monday at 3 pm with mother and one on the 7th at 4 pm with aunt. thanks!,you are welcome sir.
what is the date and time of my next swimming_activity? your next swimming_activity is on the 8th at 1pm. thank you.,glad to help
what's the forecast for new_york city,what days are you interested in?
i need the fastest route to a rest stop.,"i have found a route to The_Westin, located at 329 el camino real. it is 5 miles away through heavy traffic"
what is my address?,your home address is home_address.
"where can i go shopping? i suggest you Ravenswood_Shopping_Center, it's 5 miles away and there is moderate traffic it sounds good, thank you, please send a quick route on the map",gps set to Ravenswood_Shopping_Center_address and we should arrive shortly.
what is the forecast in my city what city are you in? what is the forecast for today and tomorrow in durham?,"the forecast for today in durham will be durham_monday_weather, with adurham_monday_low and adurham_monday_high. tomorrow's forecast will be durham_tuesday_weather, with adurham_thursday_low and adurham_friday_high."
"i need to take medicine on sunday setting a reminder to take medicine on sunday, at what time? please set it for 10am okay wonderful, i just set a reminder for you! sweet, thanks!",happy to help
"i need a reminder, it's for a swimming activity at 10am, 14th of august, with mother. okay, i am setting a reminder for a swimming activity on august 14th at 10am with your mother. thanks.  okay, i am scheduling a swimming activity with your mother for august 14th at 10am. thank you again, goodbye.",you're welcome.
i need directions to a grocery store there are two grocery stores near you. would you like safeway or Whole_Foods? i need the one with the quickest route that is within 3 miles of me please.,there is heavy traffic but Whole_Foods is just 2 miles away at 819 alma st
"please give me the address and directions via a quick route to my friend's house.  jill's house is 8 miles away with no traffic on our way, the address is 347 alta mesa ave, i sent it on your map pick a quick route to reach there please! i sent the address and the route on your screen, drive carefully! thank you.",you are welcome
what is the date of my nextt dentist_appointment and who will be attending it?,your next dentist_appointment is on the 2nd with sister.
where is a close rest stop? The_Westin is 2 miles away. what is the address? The_Westin is located at 329 el camino real. thanks set the navigation to there please.,"you're welcome, i set the navigation."
"directions to coffee and tea house there are two local coffee shops; one is Philz_distance away and one is 6 miles away which would you prefer? pick the one near my current location and avoid all heavy traffic please philz is Philz_distance away but there is Philz_traffic_info. there isn't any traffic on the route to starbucks, but it is 6 miles away from your location. ok, give me the address to philz philz is located at Philz_address. thank you car!","no problem, you're welcome."
where's the nearest shopping mall,the Midtown_Shopping_Center is located 1 mile away. would you like directions there?
find me all the nearest hotels,"The_Westin is located 4 miles away at 329 el camino real, and The_Clement_Hotel 5 miles away at 657 ames avenue."
car i need to get to a gas station: is there any around me?,chevron is Chevron_distance away.
"what's the weather like on my drive today what city will you be taking your drive in? i want to know if it will be humid in manhattan today. today's forecast is not showing that it is humid in manhattan. okay, thank you",glad to help
what is the weather like in new_york this week what days are you interested in the weather for? for the next 7 days please.,"in new_york it will be frost on monday, windy on tuesday, overcast on wednesday, drizzle on thursday, snow on friday, blizzard on saturday, and cloudy on sunday"
"please schedule me an optometrist appointment at 2pm this week with jon. set reminder for optometrist appointment at 2 pm this week with jon. do you know what date exactly? yes set it for this week, at 2pm with jon. thanks",on which day of the week would you like me to set it for?
where can i get chinese food?,Mandarin_Roots and Chef_Chu's are both close.
what is today's forecast what city do you want the weather forecast for? will it compton_saturday_weather in compton? it will compton_saturday_weather on saturday in compton. thank you.,you're welcome.
update me on the weekly weather forecast for this week,what city would you like to hear the weather forecast for?
please remind me to take my medicine at 7 pm today with my mother.,setting a reminder to take your medicine with your mother today at 7 pm.
i need to set a reminder for dinner.,for what day and time would you like to set this?
schedule meeting.  what details shall i add to your meeting reminder? please set it for the 13th at 11am. it is going to be with management and to discuss our company picnic. thank you.,reminder set for your meeting at 11am on the 13th with management to discuss your company picnic.  is there anything else?
"find home address that is within the distance of 5 miles. your home is home_distance away and there is home_traffic_info on our way, i sent its position on your screen thanks!",you're welcome and stay safe.
"remind me about going swimming on the 7th with dad, at 2 pm","setting a reminder about your swimming activity on the 7th with your father, at 2 pm"
where can i find a rest stop?,the Hotel_Keen is close.
set a reminder for tennis on august 3rd at 11am with my aunt setting reminder for tennis on august 3rd at 11 am with aunt.  thanks.,you are welcome.
i feel like some coffee where's the nearest place teavana at Teavana_address is the nearest place. it is Teavana_distance away through Teavana_traffic_info. it sound good! please pick a quick route and show me the map on screen here is a map of teavana. thanks a bunch.,anytime!
schedule a reminder for a doctor appointment with my father on august 22nd at 10am,"okay, setting a reminder for your doctor's appointment on august the 22nd at 10 am with your father."
"i need to know if it will be cloudy in san_jose over the next seven days it will be cloudy on saturday in san_jose. thank you car, this is great!",i'm happy to give you good news!
"find me a parking garage around me.  there is a parking garage Palo_Alto_Garage_R_distance away at 481 amaranta ave but a road block is noted nearby.  ok, please give me directions to travel the shortest distance.","ok, setting navigation to the Palo_Alto_Garage_R now."
remind me at 4pm next wednesday about my conference with the sales team. setting reminder for conference at 4 pm on next wednesday with the sales team.  great!,"have a great day, goodbye."
"what is the forecast for new_york city the forecast for today is new_york_saturday_weather with a low of 50f and a high of 70f. okay, will there be new_york_saturday_weather on thursday? thursday's forecast calls for rain in new_york thank you",you are welcome.
"find me the quickest route to the gas station.  there is a chevron Chevron_distance away. is chevron the closest? if so send me the address. chevron is the closest at Chevron_address. then pick a quick route and let's go there, thank you! taking you to chevron. great, thanks again",you are welcome
get me the weather report for this week,what city would you like the weather report for?
is it going to be cloudy in the next 7 days what city would you like to know about being cloudy? mountain_view it will not be cloudy in mountain_view this week. thank you.,you're welcome.
what is the weather like in the city  which city do you want the weather for? will it hail in alameda today?,"today in alameda is gonna be alameda_monday_weather, with low temperature of 70f, andalameda_wednesday_high"
show me the weather for the next 7 days what city can i give you the weather information for? find out if there will be anyt frost in camarillo,it's gonna camarillo_friday_weather in camarillo on friday so there could be some frost too
find out the temperature in alhambra on tuesday this tuesday in alhambra the temperature will be aalhambra_tuesday_low and aalhambra_tuesday_high thanks.,you're welcome.
is there a nearby rest stop? Hotel_Keen and The_Westin are both nearby. which has the least amount of traffic at the moment. they both have none. what is the address for keen?,"578 arbol dr, we're Hotel_Keen_distance away from it. set the navigation there?"
where's the conference happening? who's going to be there and what are we talking about?,"you have several conferences on your schedule, which one in particular would you like information about?"
what's the weather going to be today and also what is the weather going to be this week,what location who you like the weather for?
"give me directions to a coffee shop we are Starbucks_distance away from cafe venetia and from starbucks: where would you prefer to go? pick the best location with the quickest route and send me the address on screen, please then let's go at starbucks, the address is Starbucks_address thank you car!","you're welcome, have a great day."
car i need to get to a shopping center: please pick the quickest one around here the closest shopping center to you would be Ravenswood_Shopping_Center at 434 arastradero rd. i need a route with no traffic please.,i have one route with Ravenswood_Shopping_Center_traffic_info.
what will the temperature be for the next week where would you like to hear the temperature from? alhambra the temperature for alhambra for the week include the highs near 100 and lows in the 40s. thanks so much.,you're welcome. have a great day.
what grocery stores are around?,i have two grocery stores listed. which would you like to know about?
"what's the weekly forecast what city are you interested in? menlo_park, what's the highest temperature for the week? the highest temperature this week in menlo_park will be on tuesday and thursday with 100f thank you",you're welcome!
find me the best parking spot,there are two nearby parking garages. Dish_Parking and Webster_Garage.
what's the seven day forecast for new_york city,"new_york's weekly forecast is scattered being warm, hot, and clear skies. the lows are in the 30s while the highs are up to 90f."
